,bought_qty,sold_qty,bought_value,sold_value,total_fees,gross_pnl,net_pnl,open_buy_qty,open_sell_qty,aggress_edge,submitted,fill_ratio,date
137,3126,3126,484152000.0,484140000.0,-812.76,-11425.0,-12237.76,0,0,0.4,6729,0.46455639768167634,20210113
138,3347,3348,514719000.0,514855000.0,-870.35,-18475.0,-19345.35,0,0,0.4,7521,0.44508708948278153,20210125
139,3292,3294,509712000.0,510007000.0,-856.18,-14385.0,-15241.18,0,0,0.4,6637,0.49615790266686755,20210107
140,3139,3141,487067000.0,487366000.0,-816.4,-11320.0,-12136.4,0,0,0.4,5782,0.5430646835005188,20210120
141,2871,2871,446330000.0,446319000.0,-746.46,-10990.0,-11736.46,0,0,0.4,5503,0.5217154279483918,20210121
142,3369,3371,517912000.0,518207000.0,-876.2,-12040.0,-12916.2,0,0,0.4,7659,0.4400052226139183,20210115
143,3503,3503,540897000.0,540887000.0,-910.78,-10165.0,-11075.78,0,0,0.4,7992,0.4383133133133133,20210108
144,2789,2790,431247000.0,431391000.0,-725.27,-10810.0,-11535.27,0,0,0.4,7871,0.3544022360564096,20210112
145,3565,3565,535531000.0,535517000.0,-926.9,-13955.0,-14881.9,0,0,0.4,8420,0.42339667458432306,20210104
146,3115,3117,483539000.0,483836000.0,-810.16,-12050.0,-12860.16,0,0,0.4,6340,0.4914826498422713,20210114
147,3008,3009,462338000.0,462480000.0,-782.21,-11815.0,-12597.21,0,0,0.4,8101,0.37137390445623997,20210106
148,3025,3025,466511000.0,466501000.0,-786.5,-9895.0,-10681.5,0,0,0.4,6264,0.48291826309067687,20210119
149,3012,3012,465835000.0,465823000.0,-783.12,-12190.0,-12973.12,0,0,0.4,5655,0.5326259946949602,20210122
150,4022,4020,607953000.0,607632000.0,-1045.46,-17840.0,-18885.46,0,0,0.2,8009,0.5020601822949182,20210105
151,3465,3467,535403000.0,535696000.0,-901.16,-15595.0,-16496.16,0,0,0.2,8551,0.4053327096246053,20210111
152,3589,3588,555892000.0,555720000.0,-933.01,-17530.0,-18463.01,0,0,0.2,7931,0.4524650107174379,20210113
153,3585,3585,551377000.0,551359000.0,-932.1,-17670.0,-18602.1,0,0,0.2,8406,0.42648108493932907,20210125
154,3761,3763,582374000.0,582664000.0,-978.12,-18970.0,-19948.12,0,0,0.2,7924,0.4747602221100454,20210107
155,3836,3836,595264000.0,595244000.0,-997.36,-20005.0,-21002.36,0,0,0.2,7206,0.5323341659728005,20210120
156,3724,3724,578959000.0,578941000.0,-968.24,-17675.0,-18643.24,0,0,0.2,7299,0.5102068776544733,20210121
157,3551,3553,545899000.0,546190000.0,-923.52,-15685.0,-16608.52,0,0,0.2,8638,0.4112062977541098,20210115
158,3636,3636,561535000.0,561517000.0,-945.36,-18675.0,-19620.36,0,0,0.2,8280,0.4391304347826087,20210108
159,2907,2909,449502000.0,449797000.0,-756.08,-14835.0,-15591.08,0,0,0.2,8734,0.3329516830776277,20210112
160,3606,3605,541861000.0,541694000.0,-937.43,-16100.0,-17037.43,0,0,0.2,8836,0.4080466274332277,20210104
161,3681,3681,571421000.0,571404000.0,-957.06,-17105.0,-18062.06,0,0,0.2,7946,0.46325195066700225,20210114
162,3029,3029,465676000.0,465660000.0,-787.54,-15915.0,-16702.54,0,0,0.2,8668,0.34944623904014765,20210106
163,3537,3539,545529000.0,545821000.0,-919.88,-16400.0,-17319.88,0,0,0.2,7741,0.4570468931662576,20210119
164,3797,3799,587346000.0,587637000.0,-987.48,-17685.0,-18672.48,0,0,0.2,7451,0.5097302375520064,20210122
165,3794,3795,573511000.0,573642000.0,-986.57,-19930.0,-20916.57,0,0,0.0,8388,0.4523724368144969,20210105
166,3326,3328,513933000.0,514225000.0,-865.02,-17095.0,-17960.02,0,0,0.0,8935,0.3723559037493005,20210111
167,3540,3540,548301000.0,548283000.0,-920.4,-18830.0,-19750.4,0,0,0.0,8635,0.40995946728430804,20210113
168,3309,3309,508979000.0,508959000.0,-860.34,-20095.0,-20955.34,0,0,0.0,8382,0.3947745168217609,20210125
169,3694,3695,571979000.0,572115000.0,-960.57,-19030.0,-19990.57,0,0,0.0,8472,0.4360835694050991,20210107
170,4050,4050,628478000.0,628458000.0,-1053.0,-20405.0,-21458.0,0,0,0.0,8264,0.4900774443368829,20210120
171,3895,3897,605555000.0,605844000.0,-1012.96,-21590.0,-22602.96,0,0,0.0,8037,0.4847579942764713,20210121
172,3312,3312,509187000.0,509170000.0,-861.12,-17930.0,-18791.12,0,0,0.0,8912,0.37163375224416517,20210115
173,3542,3542,547018000.0,547002000.0,-920.92,-16190.0,-17110.92,0,0,0.0,9068,0.3906043228936921,20210108
174,2744,2744,424316000.0,424301000.0,-713.44,-14500.0,-15213.44,0,0,0.0,9327,0.29419963546692396,20210112
175,3283,3285,493286000.0,493568000.0,-853.84,-18460.0,-19313.84,0,0,0.0,8878,0.3699031313358865,20210104
176,3669,3669,569584000.0,569564000.0,-953.94,-19925.0,-20878.94,0,0,0.0,8411,0.4362144810367376,20210114
177,2966,2965,455998000.0,455826000.0,-771.03,-17885.0,-18656.03,0,0,0.0,8887,0.33368965905254866,20210106
178,3468,3470,534906000.0,535195000.0,-901.94,-19705.0,-20606.94,0,0,0.0,8397,0.413123734667143,20210119
179,3851,3851,595750000.0,595730000.0,-1001.26,-20500.0,-21501.26,0,0,0.0,8244,0.4671276079573023,20210122
180,3296,3296,495237000.0,495232000.0,-856.96,-5195.0,-6051.96,0,0,0.6,7846,0.4200866683660464,20210104
181,2634,2633,404721000.0,404561000.0,-684.71,-5675.0,-6359.71,0,0,0.6,7229,0.36429658320652925,20210106
182,1951,1951,294720000.0,294721000.0,-507.26,1045.0,537.74,0,0,0.8,3744,0.5211004273504274,20210105
183,1840,1838,284192000.0,283883000.0,-478.14,60.0,-418.14,0,0,0.8,4107,0.44777209642074506,20210111
184,1482,1481,229502000.0,229346000.0,-385.19,-1365.0,-1750.19,0,0,0.8,3058,0.4844669718770438,20210113
185,2195,2193,337462000.0,337150000.0,-570.44,-3285.0,-3855.44,0,0,0.8,5011,0.4378367591299142,20210125
186,1564,1565,242144000.0,242295000.0,-406.77,-3830.0,-4236.77,0,0,0.8,3031,0.5161662817551963,20210107
187,1405,1405,217947000.0,217945000.0,-365.3,-1660.0,-2025.3,0,0,0.8,2479,0.5667607906413876,20210120
188,1160,1160,180325000.0,180323000.0,-301.6,-1590.0,-1891.6,0,0,0.8,2112,0.5492424242424242,20210121
189,2114,2115,324831000.0,324985000.0,-549.77,-315.0,-864.77,0,0,0.8,4611,0.4585773151160269,20210115
190,2006,2007,309753000.0,309907000.0,-521.69,-110.0,-631.69,0,0,0.8,4457,0.4501907112407449,20210108
191,1787,1787,276254000.0,276255000.0,-464.62,510.0,45.38,0,0,0.8,4576,0.39051573426573427,20210112
192,2857,2857,429251000.0,429254000.0,-742.82,3105.0,2362.18,0,0,0.8,6272,0.4555165816326531,20210104
193,1386,1386,215095000.0,215093000.0,-360.36,-1655.0,-2015.36,0,0,0.8,2734,0.506949524506218,20210114
194,2071,2073,318016000.0,318322000.0,-538.72,-735.0,-1273.72,0,0,0.8,5804,0.35699517574086836,20210106
195,1317,1317,203094000.0,203092000.0,-342.42,-1460.0,-1802.42,0,0,0.8,2604,0.5057603686635944,20210119
196,1132,1132,175017000.0,175016000.0,-294.32,-1425.0,-1719.32,0,0,0.8,2049,0.552464616886286,20210122
197,2796,2794,422520000.0,422210000.0,-726.7,-7565.0,-8291.7,0,0,0.6,5377,0.5198065835968012,20210105
198,2609,2609,403029000.0,403025000.0,-678.34,-4900.0,-5578.34,0,0,0.6,6044,0.4316677696889477,20210111
199,2313,2311,358208000.0,357892000.0,-601.12,-6065.0,-6666.12,0,0,0.6,4880,0.4737704918032787,20210113
200,2992,2994,460095000.0,460395000.0,-778.18,-9110.0,-9888.18,0,0,0.6,7188,0.4163884251530328,20210125
201,2517,2518,389703000.0,389850000.0,-654.55,-7450.0,-8104.55,0,0,0.6,4955,0.5080726538849647,20210107
202,2306,2308,357739000.0,358045000.0,-599.82,-4810.0,-5409.82,0,0,0.6,4099,0.5628202000487924,20210120
203,2004,2002,311548000.0,311232000.0,-520.78,-4630.0,-5150.78,0,0,0.6,3679,0.5444414243000816,20210121
204,2763,2763,424591000.0,424585000.0,-718.38,-6215.0,-6933.38,0,0,0.6,6418,0.4305079464007479,20210115
205,2879,2879,444546000.0,444539000.0,-748.54,-6220.0,-6968.54,0,0,0.6,6367,0.45217527878121566,20210108
206,2329,2331,360099000.0,360402000.0,-605.8,-6070.0,-6675.8,0,0,0.6,6418,0.36304144593331256,20210112
207,3296,3296,495237000.0,495232000.0,-856.96,-5195.0,-6051.96,0,0,0.6,7846,0.4200866683660464,20210104
208,2277,2275,353416000.0,353100000.0,-591.76,-6410.0,-7001.76,0,0,0.6,4457,0.5106573928651559,20210114
209,2634,2633,404721000.0,404561000.0,-684.71,-5675.0,-6359.71,0,0,0.6,7229,0.36429658320652925,20210106
210,2127,2128,328008000.0,328157000.0,-553.15,-4995.0,-5548.15,0,0,0.6,4344,0.489755985267035,20210119
211,1961,1962,303232000.0,303381000.0,-509.99,-6330.0,-6839.99,0,0,0.6,3668,0.5347600872410033,20210122
212,432,431,65255100.0,65109600.0,-112.19,5995.0,5882.81,0,0,1.6,694,0.6217579250720461,20210105
213,407,407,62833000.0,62835100.0,-105.82,2060.0,1954.18,0,0,1.6,725,0.5613793103448276,20210111
214,297,296,45989200.0,45836200.0,-77.09,1770.0,1692.91,0,0,1.6,492,0.6026422764227642,20210113
215,647,645,99319700.0,99012700.0,-167.96,1720.0,1552.04,0,0,1.6,1052,0.6140684410646388,20210125
216,292,291,45182000.0,45029500.0,-75.79,2210.0,2134.21,0,0,1.6,507,0.5749506903353058,20210107
217,187,187,28996500.0,28996900.0,-48.62,400.0,351.38,0,0,1.6,280,0.6678571428571428,20210120
218,185,185,28762000.0,28762200.0,-48.1,240.0,191.9,0,0,1.6,273,0.6776556776556777,20210121
219,455,456,69833800.0,69988800.0,-118.43,1395.0,1276.57,0,0,1.6,729,0.6248285322359396,20210115
220,500,499,77219500.0,77070900.0,-129.87,6385.0,6255.13,0,0,1.6,813,0.6143911439114391,20210108
221,445,446,68768700.0,68927600.0,-115.83,4130.0,4014.17,0,0,1.6,859,0.5186263096623981,20210112
222,797,795,119594000.0,119303000.0,-206.96,10220.0,10013.04,0,0,1.6,1329,0.5989465763732129,20210104
223,204,204,31637400.0,31639000.0,-53.04,1620.0,1566.96,0,0,1.6,296,0.6891891891891891,20210114
224,799,800,122538000.0,122702000.0,-207.87,10390.0,10182.13,0,0,1.6,1742,0.458955223880597,20210106
225,207,206,31922200.0,31770200.0,-53.69,2110.0,2056.31,0,0,1.6,340,0.6073529411764705,20210119
226,115,115,17773500.0,17775400.0,-29.9,1890.0,1860.1,0,0,1.6,185,0.6216216216216216,20210122
227,128,128,19340000.0,19342300.0,-33.28,2215.0,2181.72,0,0,2.8,172,0.7441860465116279,20210105
228,101,99,15586700.0,15278700.0,-26.0,1015.0,989.0,0,0,2.8,130,0.7692307692307693,20210111
229,75,74,11617500.0,11463100.0,-19.37,425.0,405.63,0,0,2.8,109,0.6834862385321101,20210113
230,172,172,26391800.0,26395500.0,-44.72,3725.0,3680.28,0,0,2.8,214,0.8037383177570093,20210125
231,52,52,8046560.0,8047640.0,-13.52,1090.0,1076.48,0,0,2.8,68,0.7647058823529411,20210107
232,42,42,6513400.0,6515200.0,-10.92,1800.0,1789.08,0,0,2.8,55,0.7636363636363637,20210120
233,34,34,5286040.0,5286480.0,-8.84,450.0,441.16,0,0,2.8,44,0.7727272727272727,20210121
234,102,101,15657100.0,15505600.0,-26.39,2110.0,2083.61,0,0,2.8,135,0.7518518518518519,20210115
235,125,125,19306200.0,19307000.0,-32.5,765.0,732.5,0,0,2.8,167,0.7485029940119761,20210108
236,114,112,17620500.0,17312500.0,-29.38,1630.0,1600.62,0,0,2.8,173,0.653179190751445,20210112
237,225,225,33757900.0,33761200.0,-58.5,3390.0,3331.5,0,0,2.8,282,0.7978723404255319,20210104
238,48,48,7442340.0,7443780.0,-12.48,1445.0,1432.52,0,0,2.8,82,0.5853658536585366,20210114
239,263,261,40325600.0,40027200.0,-68.12,8820.0,8751.88,0,0,2.8,331,0.7915407854984894,20210106
240,42,42,6477330.0,6478330.0,-10.92,1000.0,989.08,0,0,2.8,53,0.7924528301886793,20210119
241,30,29,4638340.0,4484180.0,-7.67,320.0,312.33,0,0,2.8,42,0.7023809523809523,20210122
242,1255,1253,189566000.0,189267000.0,-326.04,3405.0,3078.96,0,0,1.0,2434,0.5152013147082991,20210105
243,1082,1082,167088000.0,167090000.0,-281.32,1285.0,1003.68,0,0,1.0,2507,0.4315915436777024,20210111
244,946,946,146488000.0,146490000.0,-245.96,1980.0,1734.04,0,0,1.0,1888,0.5010593220338984,20210113
245,1460,1458,224325000.0,224019000.0,-379.34,2390.0,2010.66,0,0,1.0,3440,0.4241279069767442,20210125
246,935,935,144713000.0,144713000.0,-243.1,-70.0,-313.1,0,0,1.0,1791,0.5220547180346176,20210107
247,785,785,121758000.0,121758000.0,-204.1,455.0,250.9,0,0,1.0,1358,0.5780559646539027,20210120
248,681,679,105875000.0,105566000.0,-176.8,1055.0,878.2,0,0,1.0,1193,0.5699916177703269,20210121
249,1304,1304,200289000.0,200292000.0,-339.04,3430.0,3090.96,0,0,1.0,2912,0.4478021978021978,20210115
250,1385,1387,213863000.0,214178000.0,-360.36,5020.0,4659.64,0,0,1.0,2868,0.48326359832635984,20210108
251,1169,1170,180694000.0,180851000.0,-304.07,2970.0,2665.93,0,0,1.0,2927,0.39955585924154424,20210112
252,1944,1942,292068000.0,291774000.0,-505.18,8090.0,7584.82,0,0,1.0,4278,0.4541841982234689,20210104
253,756,754,117302000.0,116994000.0,-196.3,1375.0,1178.7,0,0,1.0,1475,0.511864406779661,20210114
254,1515,1517,232514000.0,232825000.0,-394.16,4075.0,3680.84,0,0,1.0,4295,0.3529685681024447,20210106
255,791,792,121977000.0,122133000.0,-205.79,1245.0,1039.21,0,0,1.0,1507,0.5252156602521566,20210119
256,578,578,89350500.0,89351800.0,-150.28,1275.0,1124.72,0,0,1.0,1099,0.5259326660600546,20210122
257,169,169,25525500.0,25528100.0,-43.94,2525.0,2481.06,0,0,2.4,209,0.8086124401913876,20210105
258,143,141,22071600.0,21763900.0,-36.92,1415.0,1378.08,0,0,2.4,183,0.7759562841530054,20210111
259,94,95,14555500.0,14711500.0,-24.57,1295.0,1270.43,0,0,2.4,132,0.7159090909090909,20210113
260,261,261,40065100.0,40067900.0,-67.86,2835.0,2767.14,0,0,2.4,315,0.8285714285714286,20210125
261,94,95,14536400.0,14693400.0,-24.57,2305.0,2280.43,0,0,2.4,136,0.6948529411764706,20210107
262,61,63,9457160.0,9769240.0,-16.12,1315.0,1298.88,0,0,2.4,72,0.8611111111111112,20210120
263,62,60,9637170.0,9326440.0,-15.86,95.0,79.14,0,0,2.4,80,0.7625,20210121
264,134,134,20563800.0,20566600.0,-34.84,2740.0,2705.16,0,0,2.4,182,0.7362637362637363,20210115
265,178,180,27495000.0,27806900.0,-46.54,2005.0,1958.46,0,0,2.4,233,0.7682403433476395,20210108
266,157,155,24262900.0,23955400.0,-40.56,2100.0,2059.44,0,0,2.4,231,0.6753246753246753,20210112
267,312,312,46831500.0,46839300.0,-81.12,7825.0,7743.88,0,0,2.4,382,0.8167539267015707,20210104
268,58,58,8987120.0,8987770.0,-15.08,645.0,629.92,0,0,2.4,75,0.7733333333333333,20210114
269,380,380,58256000.0,58266000.0,-98.8,10035.0,9936.2,0,0,2.4,487,0.7802874743326489,20210106
270,72,72,11106800.0,11107100.0,-18.72,290.0,271.28,0,0,2.4,94,0.7659574468085106,20210119
271,31,31,4793080.0,4794480.0,-8.06,1405.0,1396.94,0,0,2.4,37,0.8378378378378378,20210122
